Country,WHO region,ISO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,PAHO,MEX,2020,0.03,0.02,0.04,3.2,2.5,4,0.8,0.7,0.91,940.1,825.2,1079.2,93.6,79.7,108.5,284.7,248.8,328.8,,1.01,0.89,1.16,1302.1,1144.4,1499.2,0.73,0.64,0.84,943.4,828.5,1082.9,360,313.7,416.2
Nicaragua,PAHO,NIC,2020,0.09,0.05,0.17,0.6,0.3,1.1,0.53,0.26,0.92,31.5,15.8,54.6,3.3,1.6,5.7,11,5.5,19.3,,0.68,0.34,1.18,45,22.7,77.9,0.48,0.24,0.84,32.1,16.1,55.9,12.9,6.4,22.1
Panama,PAHO,PAN,2020,0.07,0.05,0.09,0.3,0.2,0.3,1.28,1.04,1.57,50.4,40.7,61.6,5.3,4.3,6.6,15.4,12.5,18.9,,1.64,1.33,2.01,70.9,57.4,86.5,1.17,0.95,1.43,50.6,41,61.9,20.3,16.5,24.8
Paraguay,PAHO,PRY,2020,0.42,0.09,2.08,3,0.6,14.6,2.27,0.48,10.43,146.2,30.6,670.6,13.4,2.8,62.6,33.6,7.2,154.5,,2.66,0.56,12.22,190,40.1,871.6,2.09,0.44,9.6,149.2,31.2,684.5,40.5,8.6,187.1
Peru,PAHO,PER,2020,0.06,0.05,0.07,1.7,1.4,2.1,1.26,1.09,1.43,379.2,328.5,430.1,35.2,30.1,40.4,79.3,68.5,91.3,,1.49,1.29,1.7,491.6,425.2,559.1,1.16,1,1.31,380.9,330.1,431.9,111.2,95.6,127.1
Saint Kitts and Nevis,PAHO,KNA,2020,0.06,0.02,0.22,0,0,0,0.94,0.33,3.36,0.5,0.2,1.8,0,0,0.1,0.1,0.1,0.5,,1.19,0.42,4.26,0.7,0.2,2.4,0.88,0.31,3.16,0.5,0.2,1.8,0.2,0.1,0.6
Saint Lucia,PAHO,LCA,2020,0.22,0.06,0.77,0,0,0.1,1.43,0.42,4.94,2.5,0.7,8.5,0.1,0,0.4,0.3,0.1,1.1,,1.59,0.46,5.41,2.9,0.8,9.9,1.36,0.4,4.7,2.5,0.7,8.6,0.4,0.1,1.3
Saint Vincent and the Grenadines,PAHO,VCT,2020,0.15,0.05,0.49,0,0,0,1.55,0.49,4.78,1.6,0.5,4.9,0.1,0,0.3,0.3,0.1,0.8,,1.75,0.55,5.39,1.9,0.6,6,1.45,0.46,4.48,1.6,0.5,5,0.3,0.1,1
Suriname,PAHO,SUR,2020,0.07,0.02,0.28,0,0,0.1,1.36,0.35,5.33,7.3,1.8,28.5,0.7,0.2,2.7,1.6,0.4,6.1,,1.59,0.4,6.22,9.3,2.4,36.5,1.25,0.32,4.88,7.3,1.9,28.6,2,0.5,7.8
Trinidad and Tobago,PAHO,TTO,2020,0.19,0.04,0.81,0.2,0,0.7,1.1,0.21,4.75,14.4,2.8,62.2,0.8,0.1,3.3,2.2,0.4,9.6,,1.23,0.24,5.31,17.2,3.3,74.3,1.04,0.2,4.51,14.6,2.8,63,2.6,0.5,11.2
United States of America,PAHO,USA,2020,0.01,0.01,0.02,2.7,2.2,3.2,0.23,0.2,0.26,706.5,624.3,794.3,50.5,43.8,57.7,285.4,247.6,324.8,,0.31,0.28,0.35,1038.8,916,1169.9,0.21,0.19,0.24,709.1,626.6,797,329,286.1,373.9
Uruguay,PAHO,URY,2020,0.15,0.02,1.21,0.4,0,2.9,0.86,0.1,6.38,27.8,3.1,206.4,1.8,0.2,13.2,7.4,0.8,53.3,,1.05,0.12,7.71,36.5,4.1,267.8,0.81,0.09,6.02,28.2,3.1,209.2,8.4,0.9,61.5
Venezuela (Bolivarian Republic of),PAHO,VEN,2020,0.15,0.12,0.18,3.5,2.9,4.3,1.96,1.67,2.27,510.6,435.3,593.1,48.1,40.2,57,158.8,133.9,184,,2.5,2.13,2.91,711.5,607,828.8,1.81,1.54,2.1,514.3,438.3,597,198,167.3,229.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,SEARO,BGD,2020,0.51,0.43,0.61,73.4,61.2,87.3,3.11,2.76,3.5,4675.4,4157.4,5255.6,371.1,320,429.3,980.2,869.1,1106.9,,3.55,3.16,4,5840.3,5203.1,6593.5,2.88,2.57,3.24,4747.9,4227.5,5334.8,1095.9,960,1247.2
Bhutan,SEARO,BTN,2020,0.14,0.11,0.18,0.1,0.1,0.1,3.6,2.95,4.37,25.5,20.9,30.9,2.6,2.1,3.2,9.4,7.6,11.4,,4.78,3.9,5.79,36.9,30.1,44.7,3.32,2.72,4.02,25.6,21,31,11.2,9.1,13.7
Democratic People's Republic of Korea,SEARO,PRK,2020,0.2,0.01,3.49,3.5,0.3,61,6.86,0.56,53.33,1647.8,134.4,12816.5,116.5,9.5,937.6,256.1,20.4,2019.5,,7.84,0.63,60.94,2022.3,163,15710.1,6.41,0.52,49.97,1651.5,134.7,12882.9,365.1,29.4,2807.3
India,SEARO,IND,2020,0.16,0.14,0.19,188,161.8,218.1,1.95,1.77,2.15,24660.2,22365.3,27138.5,1954.9,1738.6,2200,4762.4,4254.9,5271.8,,2.1,1.91,2.32,29042.7,26327.6,31996.9,1.8,1.63,1.98,24845.2,22561,27346.4,4192.3,3745.4,4659.4
Indonesia,SEARO,IDN,2020,1.3,1.14,1.49,307.2,268.9,353.4,6.53,5.98,7.19,16307.7,14945.8,17956,1484.7,1300.8,1682.3,6403.2,5763,7132.9,,8.61,7.85,9.48,23538.9,21470.4,25917.5,6.07,5.56,6.69,16616.2,15220.5,18299.3,6920.4,6105.2,7770.8
Maldives,SEARO,MDV,2020,0.21,0.02,1.98,0.1,0,0.7,2.4,0.29,18.42,12.1,1.5,93,0.9,0.1,7.1,4.5,0.5,30.8,,3.18,0.39,23.73,17.2,2.1,128.2,2.25,0.27,17.32,12.2,1.5,93.6,5.1,0.6,34.7
Myanmar,SEARO,MMR,2020,1.11,0.91,1.32,49.9,40.9,59.7,5.62,4.9,6.46,2806.2,2444.8,3221.8,199.6,170.4,232.5,549.4,476.9,638.6,,6.31,5.51,7.25,3430.8,2995.9,3945.6,5.25,4.57,6.02,2855.5,2485.9,3276,577.1,497,667.9
Nepal,SEARO,NPL,2020,0.16,0.13,0.2,4.3,3.4,5.4,0.87,0.72,1.04,231.1,189.2,274.5,19.3,15.6,23.7,53.1,43.3,63.2,,1,0.82,1.19,292.1,239.8,347.4,0.81,0.66,0.96,235.5,192.9,279.6,57.1,46.5,68.5
Sri Lanka,SEARO,LKA,2020,0.34,0.24,0.45,5.6,3.9,7.5,2.16,1.61,2.78,426.9,317.9,550.1,29.8,21.9,39.1,77.7,57,99.5,,2.45,1.82,3.16,525,388.9,677.2,2.02,1.5,2.6,432.5,322.1,557.7,92.6,68.3,119.3
Thailand,SEARO,THA,2020,0.27,0.23,0.32,9.7,8.4,11.4,3,2.71,3.33,1982.9,1796.8,2205.6,118.3,105.3,134.2,805.9,716.2,916.3,,4.11,3.71,4.58,2868.1,2591.4,3200.2,2.85,2.59,3.17,1992.8,1805.5,2216.1,874.5,774.7,1000.2
Timor-Leste,SEARO,TLS,2020,0.72,0.55,0.93,1.3,1,1.7,5.56,4.46,6.88,63.5,50.8,78.4,8.6,6.7,10.8,18.1,14.3,22.5,,6.24,4.97,7.69,82.3,65.5,101.4,4.91,3.93,6.07,64.7,51.9,80,17.5,13.7,21.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,EURO,ALB,2020,0.29,0.23,0.37,0.5,0.4,0.6,7.93,7.06,8.94,215,191.3,242.4,16.9,14.8,19.3,111.8,98.5,125,,11.92,10.55,13.39,343,303.6,385.3,7.49,6.66,8.44,215.5,191.7,242.9,127.7,112.5,142.9
Andorra,EURO,AND,2020,0.02,0.01,0.04,0,0,0,0.48,0.2,1.14,0.4,0.2,0.9,0,0,0.1,0.1,0.1,0.3,,0.63,0.27,1.49,0.5,0.2,1.3,0.45,0.19,1.07,0.4,0.2,0.9,0.2,0.1,0.4
Armenia,EURO,ARM,2020,0.06,0.03,0.13,0.1,0.1,0.3,1.92,0.9,3.88,53.1,24.7,107.1,4.4,2.1,8.7,18.5,8.8,37.1,,2.55,1.19,5.15,75.7,35.4,152.6,1.8,0.84,3.62,53.2,24.8,107.3,22.6,10.7,45
Austria,EURO,AUT,2020,0.16,0.1,0.23,0.7,0.4,1.1,0.94,0.59,1.33,80.6,50.7,113.5,3.3,2.1,4.8,11.6,7.2,16.4,,1.05,0.66,1.48,94.6,59.3,133.5,0.9,0.57,1.27,81.3,51.1,114.5,13.3,8.3,18.8
Azerbaijan,EURO,AZE,2020,0.06,0.04,0.1,0.5,0.3,0.8,2.22,1.41,3.42,206.3,130.9,318.6,19,12.1,29.2,51.1,32.5,78,,2.71,1.72,4.17,275.2,174.4,422.3,2.04,1.29,3.15,206.9,131.2,319.4,68,43,103.8
Belarus,EURO,BLR,2020,0.29,0.2,0.42,1.6,1.1,2.3,10.06,7.5,13.28,895.1,667.4,1182.2,55.5,41.1,74.5,177.1,131.7,232.8,,11.88,8.87,15.75,1123,838.4,1487.8,9.49,7.07,12.53,896.5,668.4,1184.1,228.3,170,299
Belgium,EURO,BEL,2020,0.09,0.06,0.13,0.6,0.4,0.8,0.56,0.39,0.79,61.7,43,87,3,2.1,4.3,12.5,8.7,17.6,,0.66,0.46,0.93,76.2,53.2,107.4,0.54,0.37,0.76,62.3,43.4,87.8,13.9,9.8,19.8
Bosnia and Herzegovina,EURO,BIH,2020,0.63,0.21,1.92,0.8,0.3,2.6,3.21,1.08,9.14,101.1,33.8,287.8,3.1,1.1,9,11,3.6,30.8,,3.46,1.15,9.81,113.5,37.8,321.7,3.11,1.04,8.85,102,34.1,290.2,11.5,3.8,32.5
Bulgaria,EURO,BGR,2020,0.09,0.07,0.12,0.3,0.2,0.4,2.21,1.85,2.62,146.9,122.8,173.8,9.1,7.6,11,86.3,72.4,102.4,,3.48,2.93,4.13,241.8,203.9,287,2.12,1.77,2.51,147.2,123,174.1,94.9,79.6,112.5
Croatia,EURO,HRV,2020,0.12,0.1,0.16,0.2,0.2,0.3,1.12,0.93,1.34,44,36.3,52.7,1.7,1.4,2.1,4.6,3.7,5.6,,1.21,1,1.45,49.7,41,59.5,1.08,0.89,1.29,44.3,36.5,52.9,5.4,4.4,6.5
Cyprus,EURO,CYP,2020,0.34,0.26,0.45,0.2,0.2,0.3,1.8,1.44,2.22,20.6,16.5,25.3,1.1,0.9,1.4,7.9,6.3,9.8,,2.42,1.95,2.99,29.3,23.5,36.1,1.72,1.38,2.12,20.8,16.7,25.6,8.5,6.7,10.6
Denmark,EURO,DNK,2020,0.68,0.59,0.79,2.1,1.8,2.4,0.8,0.69,0.92,43.7,38.1,50.6,0,0,0,4.6,3.9,5.4,,0.79,0.69,0.92,45.7,40,53,0.79,0.69,0.92,45.7,40,53,0,0,0
Estonia,EURO,EST,2020,0.29,0.16,0.49,0.2,0.1,0.3,1.77,1.01,2.89,22.3,12.7,36.3,0.9,0.5,1.6,2.6,1.5,4.3,,1.93,1.09,3.12,25.6,14.5,41.4,1.7,0.97,2.77,22.5,12.8,36.7,3,1.7,5
Finland,EURO,FIN,2020,0.81,0.23,2.82,2.1,0.6,7.4,0.96,0.28,3.33,50.5,14.6,176,0,0,0,5.3,1.5,18.4,,0.95,0.27,3.31,52.7,15.2,183.4,0.95,0.27,3.31,52.7,15.2,183.4,0,0,0
France,EURO,FRA,2020,0.15,0.13,0.18,5.5,4.8,6.4,0.82,0.75,0.91,506.4,460.2,559.6,22.8,19.8,26.1,83.3,74.7,92.8,,0.91,0.82,1,591.8,537.5,654.7,0.78,0.71,0.87,512,465.3,565.2,80.3,70.8,90.5
Georgia,EURO,GEO,2020,0.06,0.04,0.08,0.2,0.1,0.2,1.8,1.47,2.22,67,54.5,82.7,5.1,4.1,6.4,18.8,15.2,23.1,,2.27,1.85,2.8,90.7,73.7,111.6,1.68,1.37,2.08,67.2,54.7,82.9,23.4,19.1,28.9
Germany,EURO,DEU,2020,0.21,0.17,0.24,8.4,7.1,9.9,0.97,0.88,1.08,777.2,704.4,863.4,34.5,30.2,40.1,227.1,202.8,259.6,,1.23,1.11,1.37,1029.5,933.8,1150.2,0.94,0.85,1.04,785.2,712.1,872.4,245.2,217.9,281
Greece,EURO,GRC,2020,0.14,0.12,0.16,0.6,0.5,0.7,0.81,0.71,0.91,80.6,71,91.2,2.9,2.5,3.4,21.4,18.5,24.3,,1,0.88,1.13,104.1,91.8,117.3,0.78,0.69,0.88,81.2,71.5,91.9,22.7,19.6,26
Hungary,EURO,HUN,2020,0.9,0.6,1.33,4.1,2.8,6.1,1.05,0.7,1.55,97,64.8,142.4,0,0,0,8.9,5.9,13.1,,1.05,0.7,1.54,101.2,67.6,148.4,1.05,0.7,1.54,101.2,67.6,148.4,0,0,0
Iceland,EURO,ISL,2020,0.15,0.05,0.4,0,0,0.1,0.17,0.05,0.47,0.5,0.2,1.5,0,0,0,0.1,0,0.2,,0.17,0.05,0.47,0.6,0.2,1.6,0.17,0.05,0.47,0.6,0.2,1.6,0,0,0
Ireland,EURO,IRL,2020,0.04,0.03,0.05,0.1,0.1,0.1,0.25,0.21,0.3,11.6,9.7,13.7,0.6,0.5,0.7,1.7,1.4,2,,0.26,0.22,0.31,12.9,10.8,15.3,0.24,0.2,0.28,11.7,9.8,13.8,1.2,1,1.5
Israel,EURO,ISR,2020,0.05,0.04,0.06,0.4,0.3,0.5,1.11,1,1.23,86.7,78.3,96.3,14,12.3,15.8,67.7,60.6,75.9,,1.94,1.76,2.16,168.3,152.1,187.3,1.01,0.91,1.12,87.2,78.7,96.7,81,72.3,90.8
Italy,EURO,ITA,2020,0.33,0.28,0.39,7.8,6.6,9.1,1.58,1.41,1.77,917.3,817.6,1026.6,37.7,32.3,43.5,432.7,373.4,494.4,,2.28,2.01,2.55,1376.5,1216.7,1543.6,1.53,1.36,1.71,925,824.6,1034.8,451.6,386.7,518.6
Kazakhstan,EURO,KAZ,2020,0.15,0.09,0.22,2.8,1.8,4.2,3.68,2.45,5.15,619.6,412.6,868.1,90.8,59.9,126,324.3,218.1,452.7,,5.5,3.66,7.66,1032.9,686.4,1438.6,3.32,2.21,4.64,622.8,414.6,872,411.3,275.4,572.1
Kyrgyzstan,EURO,KGZ,2020,0.15,0.04,0.72,1.1,0.3,5.5,4.17,1.22,16.54,240.2,70.3,953.3,39.3,11.2,152.9,112.3,33.8,410.5,,5.99,1.77,23.06,390.8,115.5,1504.3,3.7,1.08,14.69,241.3,70.6,958.3,149,44.6,553.2
Latvia,EURO,LVA,2020,0.27,0.12,0.56,0.3,0.1,0.6,1.36,0.68,2.79,24.1,12,49.5,1.5,0.7,3.1,8.8,4.3,17.9,,1.83,0.9,3.76,34.6,17,70.9,1.3,0.64,2.66,24.4,12.1,50.1,10.1,4.9,20.6
Lithuania,EURO,LTU,2020,0.05,0.03,0.07,0.1,0,0.1,1.4,0.98,1.88,36.1,25.3,48.6,2.3,1.6,3.2,13.9,9.8,18.7,,1.92,1.34,2.58,52.1,36.6,70.2,1.33,0.93,1.79,36.2,25.4,48.6,16.1,11.3,21.6
Luxembourg,EURO,LUX,2020,0.06,0.01,0.4,0,0,0.1,0.35,0.06,2.22,2.1,0.4,13.1,0.1,0,0.6,0.5,0.1,3.1,,0.42,0.08,2.65,2.6,0.5,16.6,0.33,0.06,2.12,2.1,0.4,13.3,0.6,0.1,3.5
Malta,EURO,MLT,2020,0.2,0.05,0.93,0,0,0.2,1.24,0.29,5.49,5.2,1.2,23,0.2,0,0.9,0.5,0.1,2.2,,1.33,0.31,5.88,5.9,1.4,26,1.19,0.27,5.26,5.3,1.2,23.2,0.6,0.1,2.7
Monaco,EURO,MCO,2020,0.15,0.04,0.55,0,0,0,0.9,0.23,3.22,0.3,0.1,0.9,0,0,0.1,0.1,0,0.2,,1.11,0.29,3.99,0.3,0.1,1.2,0.85,0.22,3.04,0.3,0.1,0.9,0.1,0,0.3
Montenegro,EURO,MNE,2020,0.67,0.18,2.17,0.2,0.1,0.8,3.29,0.92,10.11,19.5,5.4,59.7,0.9,0.2,2.6,2.5,0.7,7.5,,3.55,0.99,10.87,22.3,6.2,68.3,3.14,0.87,9.66,19.7,5.5,60.7,2.6,0.7,7.7
Netherlands,EURO,NLD,2020,0.08,0.07,0.09,0.7,0.6,0.8,0.46,0.41,0.52,74.7,66.4,84.2,2.7,2.3,3.1,7.6,6.7,8.7,,0.46,0.41,0.52,78.6,69.9,88.6,0.44,0.39,0.5,75.4,67,84.9,3.3,2.8,3.7
Norway,EURO,NOR,2020,0.02,0.01,0.03,0.1,0,0.1,0.02,0.01,0.04,1,0.4,2,0,0,0,0.1,0,0.2,,0.02,0.01,0.04,1.1,0.5,2.1,0.02,0.01,0.04,1.1,0.5,2.1,0,0,0
Poland,EURO,POL,2020,0.01,0.01,0.02,0.3,0.2,0.3,0.39,0.34,0.45,141.7,123.1,162.1,9,7.8,10.4,65.7,56.9,76.2,,0.57,0.5,0.66,216.1,188.2,248.1,0.38,0.33,0.43,142,123.4,162.4,74.2,64.5,86
Portugal,EURO,PRT,2020,0.02,0.02,0.03,0.1,0.1,0.1,0.76,0.59,0.96,74.1,58.2,93.9,3.3,2.6,4.3,25,19.4,31.7,,1,0.79,1.27,102.4,80.4,129.6,0.73,0.57,0.92,74.2,58.3,94.1,28.1,21.8,35.8
Republic of Moldava,EURO,MDA,2020,0.2,0.16,0.26,0.4,0.3,0.5,5.02,4.27,5.87,192.5,163.7,224.9,12.3,10.3,14.6,86.3,73.4,100,,7.22,6.15,8.38,291.2,247.9,338.1,4.78,4.07,5.59,192.9,164.1,225.5,97.8,83,113.5
Romania,EURO,ROU,2020,0.29,0.24,0.34,2.7,2.3,3.2,4.29,3.9,4.68,785.2,713.6,856.7,48.1,42.9,53.8,364.8,330.5,402.3,,6.22,5.66,6.78,1196.4,1089.6,1304.3,4.1,3.72,4.47,788,716.2,859.5,409.9,370.9,452.8
Russian Federation,EURO,RUS,2020,0.55,0.46,0.65,50.9,42.8,60.4,3.38,3.07,3.75,4625.9,4198,5121.4,257.5,226.6,295.8,770.2,692,859.9,,3.84,3.48,4.25,5602.2,5081.1,6208.7,3.2,2.91,3.55,4676.1,4245.3,5183.9,926.9,825.3,1036.2
San Marino,EURO,SMR,2020,0.13,0.05,0.34,0,0,0,0.48,0.17,1.28,0.2,0.1,0.4,0,0,0,0.1,0,0.2,,0.73,0.26,1.93,0.2,0.1,0.7,0.46,0.16,1.22,0.2,0.1,0.4,0.1,0,0.2
Serbia,EURO,SRB,2020,0.04,0.03,0.05,0.2,0.1,0.2,1.48,1.2,1.78,123.1,99.6,148.5,5.7,4.6,7,13.8,11.1,16.9,,1.63,1.32,1.96,142.3,115.1,171.3,1.41,1.14,1.7,123.2,99.7,148.6,19.1,15.3,23.2
Slovakia,EURO,SVK,2020,0.31,0.25,0.36,0.9,0.7,1,1.85,1.65,2.07,95.5,85.6,107.2,4.4,3.8,5.1,18.8,16.6,21.4,,2.16,1.93,2.43,117.7,105.3,132.5,1.77,1.58,1.98,96.4,86.3,108.2,21.5,18.9,24.5
Slovenia,EURO,SVN,2020,1.12,0.27,5.12,1.1,0.3,5.2,1.32,0.33,5.7,26.1,6.5,112.8,0,0,0,2.5,0.6,10.8,,1.31,0.33,5.67,27.2,6.8,118,1.31,0.33,5.67,27.2,6.8,118,0,0,0
Spain,EURO,ESP,2020,0.13,0.11,0.15,2.6,2.1,3.1,0.73,0.65,0.82,325,289.9,366.3,13,11.3,14.8,91.6,81.6,103.7,,0.91,0.81,1.03,425.4,380.5,480.1,0.7,0.63,0.79,327.5,292.3,369.2,98.1,86.9,111.6
Sweden,EURO,SWE,2020,0.13,0.1,0.17,0.8,0.6,1,0.61,0.48,0.76,57.9,45.8,71.9,2.4,1.9,3.1,6.6,5.2,8.3,,0.62,0.49,0.77,62.2,49.1,77.6,0.58,0.46,0.72,58.7,46.4,72.8,3.5,2.8,4.4
Switzerland,EURO,CHE,2020,0.16,0.1,0.23,0.7,0.5,1.1,0.18,0.12,0.27,14.9,9.9,22.3,0,0,0,1.4,0.9,2.1,,0.18,0.12,0.27,15.7,10.4,23.4,0.18,0.12,0.27,15.7,10.4,23.4,0,0,0
Tajikistan,EURO,TJK,2020,0.18,0.12,0.25,2.5,1.7,3.4,5.28,3.96,6.79,432.1,323.8,555.1,83.7,62,109.7,170.2,126.3,220.2,,7.15,5.38,9.24,682.1,513.4,881.6,4.56,3.41,5.86,434.5,325.6,558.6,248.4,185.4,323.7
Czech Republic,EURO,CZE,2020,0.13,0.09,0.17,0.7,0.5,0.9,0.82,0.64,1.04,82.9,64.6,106,3.6,2.8,4.8,11.3,8.8,14.4,,0.91,0.71,1.16,97,75.8,124,0.78,0.61,1,83.6,65.1,106.9,13.4,10.4,17.2
The former Yugoslav Republic of Macedonia,EURO,MKD,2020,0.08,0.03,0.25,0.1,0,0.3,3.03,1.09,8.5,59.8,21.5,167.6,3.1,1.1,8.8,7,2.4,20.2,,3.34,1.21,9.38,69.5,25.1,195.3,2.87,1.03,8.06,59.9,21.5,167.8,9.7,3.4,27.5
Turkey,EURO,TUR,2020,0.11,0.09,0.13,7,5.7,8.7,3.64,3.28,3.99,2827.8,2551.8,3104.8,256.9,227.5,287.4,806.6,725.3,887.2,,4.6,4.17,5.04,3878.6,3515.1,4251.7,3.36,3.03,3.69,2835,2558.8,3112.2,1044.2,939.7,1143.9
Turkmenistan,EURO,TKM,2020,0.07,0.01,0.43,0.5,0.1,2.9,2.41,0.41,12.04,129.5,22,646.6,18,3,94.6,45.8,7.8,225.8,,3.2,0.54,16.04,192.9,32.8,967.2,2.16,0.37,10.77,130,22.1,649.5,62.6,10.7,316.2
Ukraine,EURO,UKR,2020,0.25,0.18,0.34,5.3,3.9,7.2,1.18,0.86,1.57,489.6,358.8,655,19.8,14.5,26.5,94.8,69.4,127.7,,1.39,1.02,1.86,605.9,444.1,811.9,1.13,0.83,1.51,495,363,662.6,110.6,81.4,149.2
United Kingdom of Great Britain and Northern Ireland,EURO,GBR,2020,0.41,0.36,0.47,16,14,18.5,0.48,0.43,0.54,305.7,272.5,347,0,0,0,34.8,30.9,39.8,,0.47,0.42,0.54,321.6,286.8,365.6,0.47,0.42,0.54,321.6,286.8,365.6,0,0,0
Uzbekistan,EURO,UZB,2020,0.16,0.13,0.2,5.4,4.3,6.9,5.3,4.6,6.05,1590.6,1382,1816.9,201.5,173.2,233.1,502.6,432.7,575.4,,6.84,5.94,7.8,2290.1,1988.4,2609.4,4.77,4.14,5.45,1596.4,1386.4,1823.4,694.2,602.7,792.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,EMRO,AFG,2020,0.39,0.29,0.52,22.4,16.5,29.5,1.69,1.28,2.16,560.8,426.7,716.9,76.3,57.4,98.4,195.9,148,254.5,,1.96,1.5,2.51,762.1,583.4,979,1.5,1.14,1.92,583.8,445,747.2,177.9,135.5,230.2
